appid,categories,genres,short_description,detailed_description
514970,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support', 'Family Sharing']","['Casual', 'Indie', 'Racing', 'Simulation']","Improve your real life driving skills! Drive Megapolis is designed to be interactive and also a learning opportunity. Tracking your driving mistakes and clearly highlighting them, allowing you to learn and improve. With a huge variety of vehicles with unique driving styles, maps, pedestrians and traffic.","<h2 class=""bb_tag"">Improve your real life driving skills in Drive Megapolis</h2>For those of you who are dreading that intimidating driving test, wanting to polish up their road skills for a drive through, or are looking to improve on their existing driving skills to avoid getting points on their license – Driving Megapolis 3D offers a viable solution. Specifically designed for European roads and the rules around it, this simulator is designed to be used on a PC.<h2 class=""bb_tag"">A cut above the rest</h2>Boasting a host of features, this driving simulator is designed to be interactive and also a learning opportunity. This is a uniquely built driving simulator, which tracks you're driving mistakes along the way and highlights them clearly, giving you the chance to improve upon them. Fully packed with a bunch of scenarios, the Drive Megapolis 3D simulator comes with a series of thirty missions each one more exciting than the last. Each one designed to fulfil an objective. With the option of playing with a manual or automatic transmission.<br><br>We have included various options which include a host of vehicles and terrains from which you can choose from – a total of seventeen in fact. Additionally it also has real life functions including simulated design which means the roads will be busy with trams and buses – meaning if you live in a busy city around Europe you can expect the same scenery from the simulator as well.<h2 class=""bb_tag"">Features: </h2><br><ul class=""bb_ul""><li>30 missions. Objectives include parking, stopping and standing, entering and exiting the box, driving around tightly parked cars, driving to destinations, 'do not damage the cargo' and others. <br></li><li>17 vehicles to drive! They include front and rear wheel drive, 4x4, buses, trucks and 19 additional modded traffic cars. <br></li><li>City, mountain and off-road maps to explore. <br></li><li>You can also encounter trams, trains and trolleybuses in addition to the above vehicles on the road.<br></li><li>You can pick up passengers in buses. <br></li><li>Realistic clutch, stalls and engine simulation unique to each vehicle <br></li><li>Realistic physics and weather affect conditions on different types of roads <br></li><li>People and animals that will react according to your driving skills </li></ul><br>logitech g25/g27/g29 compatible and can be calibrated to support other steering wheels. <br>3 monitor setup are also available."
524970,"['Single-player', 'Multi-player', 'MMO', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support', 'Family Sharing']","['Action', 'Adventure', 'Free To Play', 'Massively Multiplayer', 'RPG']","Fight your way through this vast online world of players and monsters as you level up and gain new swords, helmet, and armor. Make friends, create guilds, explore new areas, and unleash some serious energy.","Helmet Heroes is a massively multiplayer role playing game in which you can team up with your online friends and explore regions and fight against enemies.<br><br>It features nearly 40 enemies, hundreds of different weapons, helmets, armor, and accessories.  You can choose between being a warrior, archer, wizard, or cowboy.  Or if you'd like, you can combine classes and create you own mix.  You can also dual wield weapons and use shields.  There are a large number of special skills to choose from as well as the ability to unleash huge earth shaking energy levels to impress other players and help you slam through waves of enemies.  In your downtime from fighting, you can fish for over 40 different fish, or you can chop down trees to gain wood to craft new equipment.  You can also purchase pets which will help you fight enemies and you can even ride them!<h2 class=""bb_tag"">Key Features</h2>• Online MMO world to interact with other players.<br>• Around 40 enemies to do battle against.<br>• 600+ weapons, helmet, armor, shields, and accessories.<br>• Fully customizable character.<br>• Create and join guilds.<br>• Full-fledge ranking system ranks dozens of your skills to all other players in the game.<br>• 30+ special skills to grow.<br>• Fishing and chopping allows you to interact more with your environment.<br>• Unleash energy system, allows you showcase your might.<br>• 60 pets to choose from including the ability to ride pets.<br>• Beautiful 2D cartoon artwork.<br>• PvP areas and full PvP server let you battle against other players.<br>• Trading and friends system allows communicating and trading of items between players."
525460,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Family Sharing']","['Adventure', 'Indie', 'Early Access']","FIVE YEARS AGO IN THIS FOREST.. A journalist wanted to go there.And of course he didnt come back. Few days later,he called his best friend.He just said to him &quot;Come Here&quot; and line dropped. You're the best friend of this guy.You listened your friend and you went there. LET THE GAME BEGIN","Five years ago in this forest..<br />
<br />
A journalist wanted to go there.And (of course) he didnt come back. <br />
<br />
Few days later,he called his best friend.He just said to him &quot;Come Here&quot; and line dropped. <br />
<br />
You're the &quot;Best friend&quot; of this journalist.You listened your friend and you went there. <br />
<br />
AND NOW LET THE GAMES BEGIN!"
527100,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Tracked Controller Support', 'VR Supported', 'Steam Trading Cards', 'Partial Controller Support']","['Casual', 'RPG', 'Simulation']","Star Trek™: Bridge Crew, playable in both VR and non-VR, will immerse you in the Star Trek universe. In co-op, form a crew of four players to serve in the roles of Captain, Helm, Tactical or Engineer. Make strategic decisions and coordinate actions with your crew.","<h1>Feature List</h1><p><ul class=""bb_ul""><li>Playable in both VR and non-VR, serve as an officer with hand tracking with full-body avatars and lip-sync.<br></li><li>Operate as a crew to make strategic decisions and coordinate actions as Captain, Helm, Tactical or Engineer.<br></li><li>Take command of the unique U.S.S. Aegis, the first ship of her kind.<br></li><li>Play on the original bridge of the legendary U.S.S. Enterprise NCC-1701. <br></li><li>Join a shared galactic adventure where communication, trust, and close coordination are the keys to victory.</li></ul></p><br><h1>About the Game</h1>Star Trek™: Bridge Crew, playable in both VR and non-VR, will immerse you in the Star Trek universe. The game puts you and your friends in the heart of the U.S.S. Aegis.<br>Your mission: explore a largely uncharted sector of space known as The Trench, in hopes of locating a suitable new home world for the decimated Vulcan populace. The Klingon Empire is also active in the region, and their purpose is a threat to the Federation’s plans. <br><br>Make strategic decisions and coordinate actions with your crew to complete the mission. <br>In co-op, you can form a crew of four players to serve in the roles of Captain, Helm, Tactical and Engineer. In addition to a dynamic storyline, the game features an “Ongoing Missions” mode, procedurally generating missions for countless hours of Solo and Co-op adventure. <br>  <br>In Star Trek™: Bridge Crew, you’ll need more than just individual skill to overcome the challenges; communication, trust, and close crew coordination are the keys to victory.  <br><br>Uplay account and Uplay PC application required for game activation and installation.<br>A permanent internet connection is required in order to play the game."
527750,"['Single-player', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","['Action', 'Indie']","2048AD - the year in which humanity was faced with bio-terrorism. The desire to reach the next stage of evolution, which ran contrary to the facts of nature, formed the study of illegal modification to human cells. Because of this, a special unit was formed by mercenaries who opposed human experimentation.","<img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/527750/extras/app_greenlight_banner_english.png?t=1573472227"" /><br>2048AD - the year in which humanity was faced with bio-terrorism. The desire to reach the next stage of evolution, which ran contrary to the facts of nature, formed the study of illegal modification to human cells. Because of this, a special unit was formed by mercenaries who opposed human experimentation. One of the major terrorist groups created a secret base in the jungle and started the project &quot;Confluence&quot;, combining plant cells with human cells. The group of scientists that worked on this experimental process also raised an army of soulless bio-soldiers to guard the project. But during the final experiment, &quot;Confluence&quot; went out of control and began taking over its surroundings. You, as one of the best mercenaries, will have to stop the project in the only way possible: break into its epicenter and blast it to smithereens!<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/527750/extras/page_1.jpg?t=1573472227"" /><br><br>The game takes its roots from classic first-person shooters, a series of games such as Wolfenstein 3D, Spear Of Destiny, Operation Bodycount, Blake Stone and many others. The color palette is taken from Operation Bodycount, while the game uses a unique graphical style, approximately similar to Wolfenstein 3D. In Merger 3D, you'll need to pass through long levels, breaking through many crowds of enemies.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/527750/extras/page_2.jpg?t=1573472227"" /><h2 class=""bb_tag"">Features:</h2><ul class=""bb_ul""><li>15 levels<br></li><li>many crowd of angry enemies, each led by an unusual boss<br></li><li>classic old school gameplay<br></li><li>a large arsenal of powerful weapons with unique characteristics<br></li><li>musical arrangements by Jimmy</li></ul><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/527750/extras/page_3.jpg?t=1573472227"" />"
527990,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'RPG']",Rise through the ranks and lead your band of Gladiators to glory. Can you build the ultimate fighting force and a kingdom to rule all! Be careful who you trust. Becoming a Gladiator Trainer isn't easy.,"In the ruthless world of the Crownlands, which is ruled by the One True Queen, it has never been easy for someone of low class to rise above their place in the caste system society. <br />
<br />
Even now, with the realm recovering from a great war and the alliances between the great eight dominions more fragile than ever, there is little that a commoner can do to make his mark on this chaotic world. <br />
<br />
Except, perhaps, through the prestige of the arena. <br />
<br />
This will be your route to power and glory. Use your wits, your wealth, and your warriors to build a team of gladiators that will allow you to rise in status from the lowest drinking dens to the queen's royal arena. <br />
<br />
You are given a run down estate that you must restore in order to properly train your fighters. <br />
Along the way you will encounter travelers that will offer to improve your fighters stats. Some may even try to convince you to rally against the queen. Will you protect and unravel the conspiracy against her or will you join the rebellion to take the Crownlands away from the Queen? <br />
<br />
Along your journey, you will need dancers and weapons trainers to build your fighters into an experience fighting army. Armories are available to customize your gladiators weapons and armor. Prized maidens will be looking for a proper suitor to marry and will offer large amounts of money through dowries to help fund your empire. <br />
<br />
Be careful who your allies are and be wary of anyone you do not know. <br />
<br />
Can you become prestigious enough to be the Champion of the Crownlands? <br />
<br />
Can you build a gladiator empire that stands the test of time?"
528660,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Family Sharing']","['Action', 'Casual', 'Indie']","Spin Rush is 2D arcade game, where you have to collect dots and match colors.","<h2 class=""bb_tag""><strong>About This Game</strong></h2>As you play the game, you level up and unlock different fun modes that can be played and explored. <br>There are many modes available to unlock and they are all different and challenging in their own way.<h2 class=""bb_tag""><strong>Modes</strong></h2>There are up to 6 modes that can be unlocked and played. All of the modes are combined when playing in normal mode. <br>Fast mode: Dots fall faster as time progresses, so it’s more challenging to progress far. <br>Hexagon mode: Play with a hexagon cube and with two additional colors. <br>Words mode: Words of various colors fall, while the dot is in another color to mix things up. <br>Time mode: Don't stop the spinning cube or you’ll lose. <br>Trippy mode: Colors change over time, so you have to keep eye on right colors to mix. <br>Flipped mode: Camera rotates and controls are reversed every time a dot falls.<h2 class=""bb_tag""><strong>Levels </strong></h2>As you play, you will level up over time and as you progress, you will unlock new surprises and modes. Over time, levelling up will become harder, but also more rewarding as more interested modes become unlocked at higher levels. <br>The game responds to game music. Beats cause the screen to shake and the amazing sound effects give a better feeling to game. There are many soundtracks available for the<br>different game modes in addition to soundtracks with voice overs. <br>As well, there is an endless level, where all modes are combined together into one. That's <br>more interesting and advanced, but also harder to keep on track since the game is randomly <br>generated."
528740,"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']","['Massively Multiplayer', 'Simulation', 'Strategy', 'Free To Play']","Operation: New Earth is an intense sci-fi multiplayer strategy game in which you must command an advanced military facility to defend Earth from a hostile alien invasion. Create an alliance, gather resources, and unlock advanced technology to level up your stronghold!","<h1>Update 4.0 - Prototype Gear</h1><p><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/528740/extras/Banners_4.0_update.png?t=1737637825"" /><br><br>Greetings Commanders, we've just deployed our latest game update which brings the following improvements to the game!<br><br><ul class=""bb_ul""><li>The Command Post, Hero Armory &amp; Medical Bay have had their maximum level increased to 25.<br></li><li>Added a new World Map Event: UFO Invasion<br></li><li>Added 3 new craftable items<br></li><li>Added 9 new objectives for the Command Post, Hero Armory and Medical Bay.<br></li><li>New Alien Hives have started appearing across the map.<br></li><li>New Supply Drop is now available free every 6 hours within the shop.</li></ul><br>We hope you are all as excited as we are about this update! Thanks for supporting the game and we'd love to hear any feedback you have!</p><br><h1>About the Game</h1><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/528740/extras/one_header1_en.png?t=1737637825"" /><br><br>Operation: New Earth is an intense sci fi multiplayer strategy game in which you must command an advanced military facility to defend Earth from a hostile alien invasion! Create an alliance, gather resources, and unlock advanced technology to level up your stronghold - your only protection against the invaders who are laying waste to the planet!<br><br>Prepare to defend yourself and your allies against other surviving human factions in the struggle for territory and dominance over what remains of our world - and battle for Neutronium, a powerful alien element like no other, brought to Earth by a meteorite shower. Seek it out to enhance your armies and advance your technology to become the most formidable force that humanity has ever seen.<br><br>Commander, it’s time to mobilize! Retake and defend this new Earth and let no enemy, alien or human, stand in your way!<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/528740/extras/one_header2_en.png?t=1737637825"" /><br><br><ul class=""bb_ul""><li><h2 class=""bb_tag"">JOIN THE FIGHT</h2>Connect with players from around the world in the massive battle to take back planet Earth.<br><br></li><li><h2 class=""bb_tag"">BUILD YOUR BASE</h2>Build and upgrade your facility unlocking new technologies, structures, dropships to become a juggernaut of power.<br><br></li><li><h2 class=""bb_tag"">RAISE AN ARMY</h2>Train an army of varied and specialized unit types including hi-tech infantry and cutting-edge war machines.<br><br></li><li><h2 class=""bb_tag"">HARVEST NEARBY RESOURCES</h2>Build outposts in the world to defend your supply lines and harvest Neutronium.<br><br></li><li><h2 class=""bb_tag"">COMMAND YOUR HERO</h2>Train an elite Hero unit for incredible advantages and bonuses, while attempting to defeat and capture enemy players’ Heroes in battle.<br><br></li><li><h2 class=""bb_tag"">DEFEND YOUR TERRITORY</h2>Raid, destroy, or capture enemy Heroes - choose your strategy to direct your troops in battle!<br><br></li><li><h2 class=""bb_tag"">JOIN AN ALLIANCE</h2>Assemble an Alliance and build a powerful network of territory; increase your defenses, gain great advantage over key resources and objectives, and strategize to terminate the opposition to your new Earth in a single stealth mobile strike!</li></ul><br>Without powerful allies like you, humanity will surely fall. It’s no longer fiction, Commander, you must join the fight now - or face extinction at the hands of your enemies!"
529110,"['Single-player', 'Partial Controller Support', 'Commentary available']","['Adventure', 'Indie', 'Free To Play']","They may be awkward dimensions, but they're my dreams...","Interactive Dream Journal &amp; Diary; Awkward Dimensions Redux is a personal game. Lasts 20 minutes to an hour with less traditional interaction. Focuses on getting to understand another person through an interpretation of their dreams, thoughts, fears, desires, and past work. It's a game about conversing with roosters, disembodied legs, standardized tests, Immature jokes, relationships, art, espionage, and a teenager coming to terms with life and growing up.<h2 class=""bb_tag"">Includes</h2><ul class=""bb_ul""><li>Diverse dreamscapes<br></li><li>Fantastic soundtrack with music from Clawfoot Slumber, Halina Heron, American Grandma, Pablo Garduno, Dong Lee, Steven Harmon, and Franz Liszt<br></li><li>FMV segments<br></li><li>A multitude of doors</li></ul>"
529780,"['Single-player', 'Full controller support']","['Adventure', 'Casual', 'Free To Play', 'Indie', 'Simulation']","Play as a farmer who struggles to manage a failing farm. You come to a point where there is no more hope, and you must do something.","Disturbed is an adventure/horror visual adventure, inspired by experiences of depression and addiction. All visuals are hand-drawn to express personality and a sense of horror. Play as Von, a farmer who struggles to manage a failing farm. You come to a point where there is no more hope, and you must do something. You figure that you will die and it is just a matter of how and where. What difference is there to make? What can a simple farmer do? Only you can answer these questions.<i> If you enjoy this short adventure, consider purchasing the sequel!</i><br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/529780/extras/dba_banner.jpg.gif?t=1623356162"" />"
530630,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']","['Free To Play', 'Strategy']","An exciting free-to-play Real Time Strategy game set in medieval times. Uniquely designed factions, customization options, singleplayer and multiplayer gameplay. Gather resources, raise an army and lead your civilization to victory in a classic RTS, brought to the modern age.","An exciting free-to-play Real Time Strategy game set in medieval times. Uniquely designed factions, customization options, singleplayer and multiplayer gameplay. Gather resources, raise an army and lead your civilization to victory in a classic RTS, brought to the modern age.<br><br>Empires Apart is a free-to-play Real Time Strategy game set in medieval times.<br><br>Lead uniquely designed factions in outstanding procedurally generated maps. Each game is a totally different experience as you collect resources, assemble your army and wage war against your enemies.<br><br>Play for free as the Byzantines against the AI in Skirmish, Survival and Challenge mode or online in Ranked and Custom matches. <br><br>Collect Food, Wood, Gold and Stone. Build military and economic structures. Trade with allies, collect relics for powerful bonuses. Raise an army of spearmen, archers, knights and catapults. Choose your hero and lead your civilization to victory!<br><br>If you are a fan of RTS games, you will relive memories of classic games of the past while enjoying a modern interface and a brand new approach to fast-paced real time gameplay. If you are new to the genre, Empires Apart is the free-to-play RTS experience you've been waiting for.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/530630/extras/EA_faq_banner.jpg?t=1726824599"" /><br><br><br><u>Q: Is Empires Apart free now?</u><br>A: Empires Apart is fully playable for free in every mode and map using the Byzantines. Skirmish, Survival, Unranked and Ranked matches are all available from the start and it is possible to play against every other civilization in the game. <br><br><u>Q: I bought the game at full price when it first came out!</u><br>A: Everybody who bought the game before October 11th 2018 will be recognized in-game as a Founder. Founders will get immediate access to all the 6 base civilizations (Byzantines, French, Chinese, Arabs, Aztecs, Mongols) and will get access to exclusive content in the future.<br><br><u>Q: What factions are available for free?</u><br>A: Byzantines are available upon downloading the game and they can be played for free in any game mode. Additional civilizations can be purchased as DLC from the Steam store. Purchasing a civilization unlocks it in every game mode. It is always possible to play against any civilization, wether it’s controlled by the AI or another Player in a multiplayer match.<br>Every Civilization can be tried before purchase in a specific custom built scenario.<br><br><u>Q: Is there new content?</u><br>A: We have a lot of new content coming to Empires Apart and we plan to release it often and at regular intervals. This new content includes both free additions like new maps and game modes as well as new civilizations and cosmetic items which will be available through DLC and in-game items.<br><br><u>Q: What does the future hold for Empires Apart?</u><br>A: The launch of the Free-to-play version of Empires Apart marks a new beginning for the game. We have big and ambitious plans to support the game in the future and we already have a lot of content scheduled to release very soon. As always, We will keep supporting Empires Apart and keep shaping its future based on player feedback."
533300,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","['Casual', 'Indie']",Minimal physical puzzle with explosions,"<img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/533300/extras/ZUP.png?t=1674745921"" /><br><br>Minimal physical puzzle with explosions<br><br>▪ 40+ Levels<br>▪ 110+ Achievements<h2 class=""bb_tag""><strong>Trading Cards</strong><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/533300/extras/cards.png?t=1674745921"" /><h2 class=""bb_tag""><strong>Emoticons</strong><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/533300/extras/emo.png?t=1674745921"" /></h2><h2 class=""bb_tag""><strong>Credits</strong></h2>&quot;Zup!&quot; powered by Clickteam Fusion 2.5<br><br>The basis is taken an example of Sergio Andre <br>Music: </h2>"
534220,"['Single-player', 'Steam Achievements', 'Partial Controller Support']","['Gore', 'Action', 'Free To Play', 'Indie']","A medieval-style fantasy action game themed around dragons. You will know a story about a handsome mercenary, Greer, who is a child of the Dragon Lord. Use his ability to kill many Dark-Dragons.","<img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534220/extras/about.png?t=1514899695"" /><br>We are a development team from Taiwan called <strong>Fate-Dragon Studio</strong>. We hope you enjoy the fruit of our labor—<strong>a medieval-style fantasy</strong> action game themed around <strong>dragons</strong>.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534220/extras/1.png?t=1514899695"" /><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534220/extras/3.png?t=1514899695"" /><br>　<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534220/extras/story.png?t=1514899695"" /><br>Two highly intelligent races exist in the world of Dragon's Sin—<u><strong>the Dragon Clan</strong></u> and <u><strong>humans</strong></u>. Dragons possess overwhelming physical advantages, while humans rely on magic powers.<br>　<br>In the beginning, the two races co-existed peacefully, until some members of the Dragon Clan found out that they could increase their power by devouring magic-wielding humans. This discovery broke the balance of power, and the Dragon Clan was split in half. Those who desire power and search for humans to eat are called <strong>Dark Dragons</strong>. They have consumed too much magic and become twisted. To sustain themselves, they must continue consuming magic.<br>　<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534220/extras/5.png?t=1514899695"" /><br>　<br>The story line follows a handsome mercenary, <u><strong>Greer</strong></u>, who is a child of the Dragon Lord. He returns home one day to find that the stronghold he lives in has been completely destroyed, and the townspeople are nowhere to be found. The place is empty, save for wandering Dark Dragons.<br>　<br>To find out what had happened, <u><strong>Greer</strong></u> sets off toward the magical ancient tower occupied by the Dark Dragons, in hopes that he might find some answers.<br>　<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534220/extras/44.png?t=1514899695"" /><br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534220/extras/game.png?t=1514899695"" /><br>Our goal is to give players a positive experience in which even the small can defeat the large, and endurance and responsibility will result in victory. The players will enjoy getting revenge on the Dark Dragons by destroying their protective barriers, stunning them, and dealing the fatal blow during their short period of vulnerability.<br>　<br><u><strong>Greer, the hero of the story</strong></u>, can perform amazing combo strikes and charge attacks. A charge attack is one of the ways to stop a charging Dark Dragon. While in battle, The hero must <strong>dodge to avoid the Dark Dragon's relentless attacks</strong>, looking for the dragon's weak points and <strong>striking back</strong>.<br>　<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534220/extras/Game1.png?t=1514899695"" /><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534220/extras/46.png?t=1514899695"" /><br>　<br><strong>Greer's Dragon Prince form:</strong> Greer can transform into a powerful fire dragon to turn the tide of battle, switching between human and dragon forms to perform different attacks and combos to brutally annihilate enemies. While in this form, each attack will heal Greer’s health and allow for more powerful attacks. Greer can also jump in the air to strike a Dark Dragon’s head.<br>　<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534220/extras/Game_merage1.png?t=1514899695"" /><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534220/extras/47.png?t=1514899695"" /><br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534220/extras/FEATURES.png?t=1514899695"" /><br><ul class=""bb_ul""><li>Go on a fantastic adventure to experience the thrill of killing dragons.</li></ul><ul class=""bb_ul""><li>Face gigantic evil dragons and their relentless attacks. Find their weak points and strike back.</li></ul><ul class=""bb_ul""><li>Transform your character into a powerful dragon form to brutally slay the evil dragons.</li></ul><ul class=""bb_ul""><li>Supports Chinese and English.</li></ul><ul class=""bb_ul""><li>Supports keyboard + mouse and Xbox controller.</li></ul><ul class=""bb_ul""><li><u>30 min ~ 50 min</u> gameplay.</li></ul> ( 2017.12.22 Update )<h2 class=""bb_tag"">THANK YOU！！</h2>　<br>For the best game experience, please make sure that your hardware meets these requirements.<br>　<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534220/extras/End.png?t=1514899695"" />"
534370,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']",['Simulation'],"Use the latest technology and state-of-the-art licensed machines to manage all aspects of modern farming. Travel between Europe, Asia, and both Americas to plant region-specific crops such as hemp, coffee beans, and olives. Farm your way thanks to three unique game modes tailored to both simulation veterans and newcomers to farming games.","<h1>Digital Deluxe Edition</h1><p><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534370/extras/preorder_PF_PC_Steam-DELUXE.jpg?t=1639505951"" /><br><br>Digital Deluxe Edition includes:<br>- Germany Map DLC<br>- Landini Rex F DLC<br>- Lindner Geotrac 134ep DLC<br>- Gomselmash Palesse CS-200 DLC<br>- Special Outfit Pack<br><br>Experience the global nature of modern farming in its entirety with Pure Farming 2018: Digital Deluxe Edition. Expand your game with the Germany Map featuring unique, region-specific activities: growing rapeseed and raising sheep. Get access to three additional, highly specialized machines and receive 4 special outfits for your in-game character. Go global and expand your farming empire across four continents!</p><br><h1>About the Game</h1><strong>FARMING GOES GLOBAL!</strong><br><br>Use the latest technology and state-of-the-art licensed machines to manage all aspects of modern farming. Travel between Europe, Asia, and both Americas to plant region-specific crops such as hemp, coffee beans, and olives. Farm your way thanks to three unique game modes tailored to both simulation veterans and newcomers to farming games.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534370/extras/All-in-one.jpg?t=1639505951"" /><br><br>Try your hand at almost every imaginable aspect of modern farming, such as animal husbandry, orchards, greenhouses, field cultivation, green energy and more.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534370/extras/100_-Licensed-Machines.jpg?t=1639505951"" /><br><br>Drive faithfully recreated farming vehicles from such industry leaders as Zetor, Landini, McCormick, Gregoire, DAF, Mitsubishi, and many more. Reproduced down to the smallest detail, including their weight and physics, the machines will offer a realistic, in-depth experience of running a modern farm.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534370/extras/Global-Farming_1.jpg?t=1639505951"" /><br><br>Travel between your farms located in Italy, Colombia, Japan and Montana, USA. Grow unique region-specific crops and use dedicated machines never before seen in farming simulators, including the rice planter, hemp harvester and more.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/534370/extras/Three-different-game-modes.jpg?t=1639505951"" /><br><br>Enjoy the freedom and challenge of running your own farm in Free Farming, learn the ins and outs of agriculture in My First Farm, or test your farming skills in objective-focused Farming Challenges."
537430,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","['Action', 'Adventure']","An FPS horror game set in a surreal, dark and deadly biomechanical world never seen before. Humankind is just a small part of a hostile universe. Want to survive? Discover its secrets.","<strong>An FPS horror game set in a surreal, dark and deadly biomechanical world never seen before.  </strong> <br>   <br>One does not get to set the rules in the world of Inner Chains. Humankind is just a small part of a hostile universe. Want to survive? Discover its secrets.   <br>   <br>A planet in the distant future. A rock floating in space that is no longer what it had once been. Without human interference, nature has been adapting to the new conditions, reclaiming what was once taken away. In its pursuit of perfection, it began to assimilate with the abandoned technology giving life to biomechanical beings.   <br>   <br>Left to its own devices, man-made technology has also changed as it tried to adjust to the new environment. A strong symbiosis soon developed between technology and nature. It became difficult to determine what is alive and what is mechanical in the world of Inner Chains.   <br>   <br>After several million years of biomechanical evolution, mankind once again became an important part of the ecosystem. However, it hasn’t regained an advanced stage of development. As a result, the human race, oblivious to its own history, cannot fully comprehend or control the powerful technology at its disposal. The people living in the world of Inner Chains take this situation for granted and focus on using the planet’s resources to their advantage. There is also something that has not changed through the millennia: humans are still subject to basic social issues such as faith, dominance, oppression and manipulation. This led to the emergence of multiple castes, and, in consequence, to the supremacy of one particular group. They had discovered these mechanisms first, learned how to use them well that helped them rise to power. Others had to submit.  <br><br>As one of the inhabitants of this world, your head is filled with the teachings of the Ruling Caste. Your only goal is to get to a mythical place called the Last Hope and leave this degenerated, dying planet once and for all. You embark on your journey full of fanatical zeal, but soon it becomes clear that nothing is what it seems in this strange world. You have to fight for survival, face hostile fauna and flora, and overcome your own weaknesses. You need to stay observant to your surroundings and explore the secrets of the game’s world. Your survival depends entirely on your watchfulness, logical judgment, quick reflexes, accuracy and the ability to use the environment to your advantage.   <br>   <br><strong>   <br>Features  </strong><br><ul class=""bb_ul""><li>Dark biomechanical world with deadly fauna and flora  <br></li><li>Stunning visuals set in dystopian surrealist style    <br></li><li>Variety of challenging opponents   <br></li><li>Breathtaking locations with unique settings  <br></li><li>Atmospheric, tenebrous soundtrack     <br></li><li>Thrilling action combined with intense elements of terror</li></ul>"
